,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
121,Nicolas Batum,PF,34,LAC,59,11,22.0,2.1,5.0,0.418,1.6,4.1,0.384,0.5,0.9,0.564,0.574,0.5,0.7,0.667,0.9,3.3,4.2,1.5,0.6,0.7,0.7,2.0,6.3
122,Brandon Boston Jr.,SG,21,LAC,21,1,11.8,2.4,5.8,0.421,0.6,1.4,0.414,1.9,4.4,0.424,0.471,1.4,1.8,0.763,0.3,1.0,1.4,0.9,0.4,0.0,0.6,1.0,6.8
123,Moses Brown,C,23,LAC,34,1,8.5,1.8,2.8,0.635,0.0,0.0,,1.8,2.8,0.635,0.635,1.0,2.1,0.458,1.7,2.4,4.1,0.1,0.1,0.4,0.4,1.1,4.6
124,Amir Coffey,SG,25,LAC,41,9,13.9,1.3,3.3,0.39,0.2,0.9,0.27,1.0,2.4,0.434,0.426,1.1,1.3,0.818,0.4,0.9,1.2,1.2,0.2,0.1,0.4,1.2,3.9
125,Robert Covington,PF,32,LAC,36,0,16.2,1.9,4.7,0.406,1.0,2.9,0.333,0.9,1.8,0.523,0.509,0.7,0.9,0.735,0.7,3.0,3.7,1.3,0.7,0.8,0.6,1.9,5.5
126,Moussa Diabate ,PF,21,LAC,18,1,9.6,1.2,2.2,0.525,0.1,0.1,0.5,1.1,2.1,0.526,0.538,0.6,0.9,0.625,1.6,0.9,2.5,0.2,0.3,0.3,0.5,0.7,2.9
127,Paul George,SG,32,LAC,46,46,34.4,8.1,17.5,0.461,2.9,7.7,0.384,5.1,9.8,0.522,0.545,4.4,5.0,0.875,0.7,5.4,6.1,5.2,1.4,0.4,3.3,2.7,23.5
128,Eric Gordon,SG,34,LAC,4,0,23.3,1.8,5.5,0.318,1.3,3.0,0.417,0.5,2.5,0.2,0.432,2.3,2.5,0.9,0.3,1.8,2.0,3.5,0.8,0.8,0.5,1.5,7.0
129,Bones Hyland,PG,22,LAC,3,0,15.7,2.7,7.0,0.381,1.3,3.0,0.444,1.3,4.0,0.333,0.476,1.7,2.3,0.714,1.7,1.3,3.0,1.7,0.7,0.0,1.0,2.3,8.3
130,Reggie Jackson,PG,32,LAC,52,38,25.7,4.1,9.8,0.418,1.5,4.2,0.35,2.6,5.6,0.469,0.493,1.2,1.3,0.924,0.4,1.8,2.2,3.5,0.7,0.1,1.8,1.8,10.9
131,Luke Kennard,SG,26,LAC,35,11,20.7,2.8,6.0,0.464,1.7,3.8,0.447,1.1,2.3,0.494,0.604,0.5,0.6,0.95,0.2,2.2,2.4,1.1,0.5,0.1,0.9,1.3,7.8
132,Kawhi Leonard,SF,31,LAC,36,34,32.9,8.4,16.4,0.51,1.8,4.5,0.405,6.6,11.9,0.55,0.566,4.4,5.1,0.869,1.2,5.0,6.1,4.0,1.4,0.6,1.5,1.6,23.0
357,Terance Mann,SG,26,LAC,62,35,23.5,3.5,6.8,0.525,1.0,2.5,0.392,2.6,4.3,0.602,0.597,1.1,1.4,0.775,1.0,2.8,3.7,2.2,0.5,0.3,0.9,1.9,9.2
399,Marcus Morris,PF,33,LAC,55,55,28.7,4.5,10.5,0.432,1.9,5.1,0.375,2.6,5.4,0.485,0.522,1.2,1.5,0.78,0.4,3.7,4.1,1.8,0.6,0.4,0.9,2.2,12.2
449,Mason Plumlee,C,32,LAC,4,2,21.8,2.5,2.5,1.0,0.0,0.0,,2.5,2.5,1.0,1.0,2.8,3.5,0.786,1.5,6.3,7.8,2.8,0.8,0.8,1.3,3.0,7.8
462,Norman Powell,SG,29,LAC,52,7,25.9,5.7,11.7,0.484,2.1,4.9,0.423,3.6,6.8,0.528,0.572,3.6,4.5,0.804,0.4,2.6,3.0,1.8,0.8,0.3,1.7,2.0,17.0
463,Jason Preston,PG,23,LAC,13,0,9.4,1.4,3.2,0.439,0.4,1.4,0.278,1.0,1.8,0.565,0.5,0.0,0.2,0.0,0.2,1.5,1.7,2.1,0.2,0.0,0.8,0.5,3.2
581,John Wall,PG,32,LAC,34,3,22.2,4.1,9.9,0.408,1.0,3.2,0.303,3.1,6.7,0.459,0.457,2.3,3.3,0.681,0.4,2.3,2.7,5.2,0.8,0.4,2.4,1.7,11.4
595,Russell Westbrook,PG,34,LAC,2,2,32.5,6.5,11.5,0.565,1.0,3.0,0.333,5.5,8.5,0.647,0.609,3.0,3.0,1.0,0.5,4.5,5.0,9.0,3.0,0.0,4.5,4.5,17.0
623,Ivica Zubac,C,25,LAC,59,59,29.4,4.0,6.5,0.617,0.0,0.0,0.0,4.0,6.5,0.62,0.617,2.2,3.1,0.699,3.3,6.8,10.1,1.1,0.4,1.3,1.7,2.9,10.2
