,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
133,Mo Bamba,C,24,LAL,3,0,14.7,1.3,4.3,0.308,0.7,3.0,0.222,0.7,1.3,0.5,0.385,1.3,2.7,0.5,0.7,6.7,7.3,0.7,0.0,1.0,1.0,3.7,4.7
134,Malik Beasley,SG,26,LAL,5,3,24.2,5.0,12.8,0.391,3.4,9.4,0.362,1.6,3.4,0.471,0.523,0.0,0.6,0.0,0.0,2.6,2.6,1.6,1.8,0.0,1.4,2.4,13.4
135,Patrick Beverley,PG,34,LAL,45,45,26.9,2.2,5.4,0.402,1.2,3.5,0.348,0.9,1.8,0.506,0.517,0.9,1.1,0.78,0.5,2.6,3.1,2.6,0.9,0.6,0.9,2.8,6.4
136,Sterling Brown,SG,27,LAL,4,0,6.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.8,1.3,2.0,0.5,0.8,0.0,0.0,1.0,0.0
137,Troy Brown Jr.,SF,23,LAL,55,31,23.9,2.6,6.0,0.434,1.3,3.5,0.361,1.4,2.6,0.532,0.538,0.5,0.5,0.963,0.9,3.3,4.2,1.1,0.7,0.1,0.7,1.5,7.0
138,Thomas Bryant,C,25,LAL,41,25,21.4,4.8,7.3,0.654,0.5,1.2,0.44,4.3,6.1,0.697,0.691,2.0,2.6,0.741,1.6,5.2,6.8,0.7,0.3,0.6,0.7,1.9,12.1
139,Max Christie,SG,19,LAL,35,3,14.2,1.2,2.9,0.417,0.7,1.8,0.419,0.5,1.2,0.415,0.544,0.4,0.5,0.875,0.2,1.9,2.1,0.5,0.2,0.2,0.4,0.9,3.6
140,Anthony Davis,C,29,LAL,37,35,33.2,9.7,17.2,0.564,0.4,1.5,0.241,9.4,15.8,0.593,0.574,6.0,7.4,0.813,3.3,9.1,12.4,2.5,1.1,2.0,2.1,2.7,25.7
141,Wenyen Gabriel,PF,25,LAL,47,2,15.2,2.6,4.2,0.617,0.2,0.6,0.3,2.4,3.5,0.675,0.64,0.8,1.3,0.623,1.6,2.2,3.8,0.5,0.3,0.5,0.7,2.2,6.1
142,Rui Hachimura,PF,24,LAL,13,8,24.9,3.9,8.5,0.459,0.6,2.2,0.276,3.3,6.3,0.524,0.495,1.8,2.8,0.649,1.3,4.1,5.4,0.6,0.3,0.2,0.5,0.6,10.3
143,LeBron James,PF,38,LAL,47,47,36.1,11.3,22.6,0.501,2.1,6.9,0.308,9.2,15.7,0.587,0.549,4.8,6.3,0.759,1.2,7.2,8.4,6.9,0.9,0.6,3.1,1.7,29.5
144,Damian Jones,C,27,LAL,22,1,8.0,0.9,1.7,0.541,0.0,0.1,0.0,0.9,1.5,0.588,0.541,0.7,0.9,0.75,0.8,1.7,2.5,0.2,0.1,0.5,0.4,0.8,2.5
425,Kendrick Nunn,SG,27,LAL,39,2,13.5,2.6,6.4,0.406,1.1,3.2,0.325,1.6,3.2,0.488,0.488,0.4,0.5,0.81,0.1,1.3,1.4,0.9,0.3,0.1,0.8,0.9,6.7
446,Scotty Pippen Jr.,PG,22,LAL,6,0,5.3,0.7,2.0,0.333,0.2,0.5,0.333,0.5,1.5,0.333,0.375,0.8,1.5,0.556,0.3,0.3,0.7,0.3,0.3,0.2,0.3,0.5,2.3
471,Austin Reaves,SG,24,LAL,43,12,27.7,3.4,6.8,0.502,1.2,3.3,0.376,2.2,3.5,0.62,0.593,2.6,2.9,0.873,0.6,2.4,3.0,2.2,0.5,0.3,1.3,1.7,10.6
477,Davon Reed,SG,27,LAL,3,0,6.0,0.7,0.7,1.0,0.3,0.3,1.0,0.3,0.3,1.0,1.25,0.3,1.3,0.25,0.3,0.7,1.0,0.7,0.3,0.0,0.0,0.3,2.0
501,D'Angelo Russell,PG,26,LAL,4,4,24.8,4.8,10.8,0.442,1.5,4.3,0.353,3.3,6.5,0.5,0.512,2.5,3.3,0.769,0.5,3.0,3.5,5.0,0.3,0.0,1.5,1.3,13.5
503,Matt Ryan,SF,25,LAL,12,0,10.8,1.3,4.1,0.306,1.1,2.9,0.371,0.2,1.2,0.143,0.439,0.3,0.4,0.8,0.2,1.0,1.2,0.3,0.2,0.0,0.3,1.2,3.9
511,Dennis Schroder,PG,29,LAL,47,42,30.7,4.0,9.5,0.424,1.2,3.4,0.342,2.9,6.1,0.47,0.485,3.2,3.7,0.873,0.3,2.3,2.5,4.3,0.7,0.1,1.6,2.2,12.5
539,Cole Swider,SF,23,LAL,6,0,6.7,0.5,1.5,0.333,0.5,1.3,0.375,0.0,0.2,0.0,0.5,0.0,0.0,,0.2,1.0,1.2,0.7,0.0,0.0,0.0,0.5,1.5
558,Juan Toscano-Anderson,SF,29,LAL,30,7,12.2,1.1,2.2,0.5,0.1,0.7,0.2,1.0,1.5,0.63,0.53,0.4,0.5,0.733,0.5,1.6,2.0,0.8,0.3,0.2,0.6,1.5,2.7
568,Jarred Vanderbilt,PF,23,LAL,5,3,22.4,3.6,5.2,0.692,0.2,0.4,0.5,3.4,4.8,0.708,0.712,1.2,1.2,1.0,3.0,5.8,8.8,2.4,1.6,0.2,1.0,1.8,8.6
580,Lonnie Walker IV,SG,24,LAL,44,32,25.9,4.7,10.3,0.454,1.7,4.7,0.369,2.9,5.6,0.524,0.538,1.8,2.0,0.885,0.3,1.8,2.0,1.3,0.6,0.3,0.9,1.4,12.8
594,Russell Westbrook,PG,34,LAL,52,3,28.7,5.8,14.0,0.417,1.2,4.1,0.296,4.6,9.9,0.467,0.46,3.0,4.6,0.655,1.1,5.0,6.2,7.5,1.0,0.4,3.5,2.3,15.9
